I'm looking for a place to stay . It needs to be a guesthouse and include free wifi . ||| Qed infittex post fejn noqgħod . Jeħtieġ li tkun guesthouse u tinkludi wifi b'xejn .
Fitzbillies Restaurant meets all of your requirements . Would you like more info on them ? ||| Fitzbillies Restaurant jissodisfa r rekwiżiti kollha tiegħek . Tixtieq aktar informazzjoni dwarhom ?
Book this for 6 people on Monday at 12:30 . Reference number ? Also , I need a train leaving from Cambridge going to London Liverpool Street , arriving by 12:00 . ||| Ibbukkja dan għal 6 persuni nhar it Tnejn f'12:30 . Numru ta 'referenza ? Ukoll , għandi bżonn ferrovija li titlaq minn Cambridge sejra lejn London Liverpool Street , li tasal sa 12:00 .
Booking was successful . The table will be reserved for 15 minutes . Reference number is : U6I2PPBO . i will now look up your train information . ||| Il prenotazzjoni kienet suċċess . Il mejda tkun riservata għal 15 il minuta . Numru ta' referenza huwa: U6I2PPBO . issa se nfittex l informazzjoni tal ferrovija tiegħek .
Great . I need to go to London Liverpool street . ||| Kbir . Għandi bżonn immur Londra Liverpool Street .
Sure , I can help you with that . When were you wanting to travel there ? ||| Żgur , nista 'ngħinek b'dan . Meta kont trid tivvjaġġa hemm ?
I need to leave cambridge on Tuesday . The train should arrive by 12:00 . ||| Għandi bżonn nitlaq minn Cambridge nhar it Tlieta . Il ferrovija għandha tasal sa 12:00 .
Ok , train TR4494 leaves cambridge to london liverpool street on tuesday at 09:59 and arrives at 11:27 . Shall i book it , if so for how many people ? ||| Ok , il ferrovija TR4494 titlaq minn cambridge għal london liverpool street nhar it Tlieta fid 09:59 u tasal fil 11:27 . Għandi nibbukkjaha , jekk iva għal kemm nies ?
Please book the train for 6 people as well . I'll also need a reference number . ||| Jekk jogħġbok ibbukkja l ferrovija għal 6 persuni wkoll . Ikolli bżonn ukoll numru ta' referenza .
Okay I have booked for 6 people . Your reference number is 853N5OLT . ||| Okay jien bbukkejt għal 6 persuni . In numru ta' referenza tiegħek huwa 853N5OLT .
That's all I need . Thank you for your help . ||| Dak kollu li għandi bżonn . Grazzi tal għajnuna tiegħek .
glad to help . goodbye . ||| ferħan li jgħin . addio .
Hi , I'd like some information on nightclubs located in the west please . ||| Hi , nixtieq xi informazzjoni dwar nightclubs li jinsabu fil punent jekk jogħġbok .
My system is not pulling up any Nightclub attractions in the West . Is there another attraction type or area you would be interested in searching ? ||| Is sistema tiegħi mhix tiġbed l ebda attrazzjonijiet Nightclub fil Punent . Hemm tip jew żona ta' attrazzjoni oħra li tkun interessat li tfittex ?
How about a college to visit in the same area . ||| Kif dwar kulleġġ li jżuru fl istess żona .
Magdalene College is located in the west and is free to visit . Would you like more information on it ? ||| Magdalene College jinsab fil punent u huwa liberu li jżuru . Tixtieq aktar informazzjoni dwarha ?
What is the postcode there ? ||| X'inhu l kodiċi postali hemmhekk ?
The postcode is cb30ag . Is there anything else I can help you with ? ||| Il kodiċi postali huwa cb30ag . Hemm xi ħaġa oħra li nista' ngħinek biha ?
Yes I need a train that is departing on Wednesday from London Kings cross . ||| Iva għandi bżonn ferrovija li titlaq nhar l Erbgħa minn London Kings cross .
Is there a certain time you would like to leave London ? And will you be travelling to Cambridge ? ||| Hemm ċertu żmien li tixtieq titlaq minn Londra ? U se tkun qed tivvjaġġa lejn Cambridge ?
Yes , I'm headed to Cambridge and need to leave after 09:30 . ||| Iva , jien sejjer Cambridge u għandi nitlaq wara d 09:30 .
Train TR2417 leaves at 11:17 and arrives by 12:08 . Would you like to book that ? ||| Il ferrovija TR2417 titlaq fil 11:17 u tasal sa 12:08 . Tixtieq tibbukkja dik ?
Yes , can you book that for 2 people and give me a reference number ? ||| Iva , tista' tibbukkja dik għal 2 persuni u tagħtini numru ta' referenza ?
Booking was successful , the total fee is 47 . 2 GBP payable at the station . Reference number is : 1W7IKOHU . Is there anything else you need ? ||| Il prenotazzjoni kienet ta' suċċess , il ħlas totali huwa ta' 47 . 2 GBP pagabbli fl istazzjon . Numru ta' referenza huwa: 1W7IKOHU . Hemm xi ħaġa oħra li għandek bżonn ?
No , I believe that is everything today . Thank you . ||| Le , nemmen li llum huwa kollox . Grazzi .
Thank you ! Have a wonderful day ! ||| Grazzi ! Have a ġurnata mill isbaħ !
Hi , I want to travel to Cambridge by train . ||| Hi , irrid nivvjaġġa lejn Cambridge bil ferrovija .
Great , what time do you have in mind ? ||| Kbir , x'ħin għandek f'moħħok ?
I want to arrive by 17:30 . ||| Irrid nasal sas 17:30 .
And where are you leaving from ? ||| U minn fejn titlaq ?
I'm leaving from Broxbourne on Sunday . ||| Il Ħadd se nitlaq minn Broxbourne .
The first train departs Broxbourne for Cambridge on Sunday at 05:32 . Do you want to purchase this ticket or pick a later departure time ? ||| L ewwel ferrovija titlaq minn Broxbourne għal Cambridge nhar il Ħadd fil 05:32 . Trid tixtri dan il biljett jew tagħżel ħin tat tluq aktar tard ?
Can you book for arrival closer to 17:30 for one person and give me the reference number . Also I would like to see a college in centre . ||| Tista' tibbukkja għall wasla eqreb tas 17:30 għal persuna waħda u tagħtini n numru ta' referenza . Nixtieq ukoll nara kulleġġ fiċ ċentru .
I found you a seat on TR4658 departing Broxbourne at 15:32 , arriving Cambridge at 16:32 . The total fee is 14 . 32 GBP payable at the station , and your reference number is H88LTKWC . ||| Sibtek siġġu fuq TR4658 li titlaq minn Broxbourne fis 15:32 , u waslet Cambridge fis 16:32 . It tariffa totali hija 14 . 32 GBP pagabbli fl istazzjon , u n numru ta' referenza tiegħek huwa H88LTKWC .
I'm also looking for a place to go maybe a college . ||| Qed infittex ukoll post fejn immur forsi kulleġġ .
There are many colleges , what area do you want ? ||| Hemm ħafna kulleġġi , liema qasam trid ?
I'd like to look around the centre area . ||| Nixtieq inħares madwar iż żona taċ ċentru .
There are 13 , but I think Christ's College is the most interesting , and it's free ! ||| Hemm 13 , imma naħseb li l Kulleġġ ta Kristu huwa l aktar interessanti , u huwa b xejn !
Thanks so much . That's all for today . Have a great one ! ||| Grazzi hafna . Dak kollu għal lum . Have a great one !
You're very very welcome ! Goodbye , enjoy your stay ! ||| Int merħba ħafna ! Goodbye , gawdi l waqfa tiegħek !
Would you be able to help me find a train for Friday ? ||| Tkun kapaċi tgħinni nsib ferrovija għall Ġimgħa ?
Gladly . Where are you headed ? ||| Bil ferħ . Fejn sejjer ?
I need a train that departs Cambridge to Stevenage on Friday leaving after 18:30 . ||| Għandi bżonn ferrovija li titlaq minn Cambridge għal Stevenage nhar il Ġimgħa u titlaq wara s 18:30 .
The first train running that route after 18:30 is the TR8118 , leaving at 19:21 . ||| L ewwel ferrovija li tmexxi dik ir rotta wara s 18:30 hija t TR8118 , li titlaq fis 19:21 .
That sounds great . Can you please book 5 tickets ? ||| Dan ħsejjes kbir . Tista' jekk jogħġbok tibbukkja 5 biljetti ?
Booking was successful , the total fee is 64 GBP payable at the station . Reference number is : QAF9QUO2 . ||| Il prenotazzjoni kienet ta' suċċess , il ħlas totali huwa ta' 64 GBP li għandhom jitħallsu fl istazzjon . In numru ta' referenza huwa: QAF9QUO2 .
Okay thank you for your help . ||| Tajjeb grazzi għall għajnuna tiegħek .
I'm more than happy to have been of service . Is there anything else I can help you with ? ||| Jien iktar minn kuntent li kont ta servizz . Hemm xi ħaġa oħra li nista' ngħinek biha ?
I would also like to visit a college . ||| Nixtieq ukoll inżur kulleġġ .
Do you have a specific college in mind ? Or do you prefer a certain area of town ? ||| Għandek kulleġġ speċifiku f'moħħok ? Jew tippreferi ċertu żona tal belt ?
I would like one in the centre please . ||| Nixtieq wieħed fiċ ċentru jekk jogħġbok .
christ's college , corpus christi , king's college , and pembroke college are some of the colleges in that area . ||| christ's College , corpus christi , king's College , u Pembroke College huma wħud mill kulleġġi f'dak iż żona .
Can I get the phone number , entrance fee , and postcode of one of them ? ||| Nista 'nikseb in numru tat telefon , il miżata tad dħul , u l kodiċi postali ta' wieħed minnhom ?
Sure , Christ's College is free admission and their phone number is 01223334900 . ||| Żgur , il Kulleġġ ta Kristu huwa d dħul b xejn u n numru tat telefon tagħhom huwa 01223334900 .
Thank you . I also need the postcode please . ||| Grazzi . Għandi bżonn ukoll il kodiċi postali jekk jogħġbok .
cb23bu is the postcode . Can I help you with anything else ? ||| cb23bu huwa l kodiċi postali . Nista ngħinek b xi ħaġa oħra ?
That is all I need . Thank you , goodbye . ||| Dan huwa dak kollu li għandi bżonn . Grazzi , addio .
i am glad i have been of help . good bye ||| ninsab kuntent li kont ta' għajnuna . good bye
Where is the train that arrives at 11:00 and leaves to Cambridge ? ||| Fejn hi l ferrovija li tasal fil 11:00 u titlaq lejn Cambridge ?
What day do you wish to travel and where are you departing from ? ||| Liema jum tixtieq tivvjaġġa u minn fejn titlaq ?
I want to depart from Broxbourne on Friday . ||| Irrid nitlaq minn Broxbourne nhar il Ġimgħa .
TR2145 arrives in Cambridge by 10:32 . Would that work for you ? ||| TR2145 jasal Cambridge fl 10:32 . Dan jaħdem għalik ?
Yes . Please book for 6 people . ||| Iva . Jekk jogħġbok ibbukkja għal 6 persuni .
Okay , tickets fro 6 have been booked ! Your reference number is AUQ1WQY3 . Can I help you with anything else ? ||| Tajjeb , il biljetti għal 6 ġew ibbukkjati ! In numru ta' referenza tiegħek huwa AUQ1WQY3 . Nista ngħinek b xi ħaġa oħra ?
Thank you . Now I would like to party all night at a good night club . Can you help with that ? ||| Grazzi . Issa nixtieq nagħmel festa l lejl kollu fi night club tajjeb . Tista 'tgħin b'dan ?
Yes , I can help you find a nightclub . ||| Iva , nista' ngħinek issib nightclub .
I would like one in the west . ||| Nixtieq wieħed fil punent .
I'm so sorry , I'm not showing any nightclubs in the west . Could I look in a different part of town for you ? ||| Jiddispjaċini ħafna , mhux qed nuri l ebda nightclubs fil punent . Nista 'nfittex f'parti differenti tal belt għalik ?
Okay are there any good colleges in that area ? ||| Okay hemm xi kulleġġi tajbin f'dak il qasam ?
Queens college would fit that criteria . can I get you more info on it ? ||| Queens kulleġġ ikun jaqbel ma 'dak il kriterji . nista' nġiblek aktar informazzjoni dwarha ?
What's the entrance fee ? ||| X'inhu l miżata tad dħul ?
The entrance fee is 2 . 50 pounds . Did you need any more information ? ||| Il ħlas tad dħul huwa 2 . 50 liri . Kellek bżonn aktar informazzjoni ?
Yes , I also need the address and postcode please . ||| Iva , għandi bżonn ukoll l indirizz u l kodiċi postali jekk jogħġbok .
Sure ! It's on Silver Street , and the postcode is CB39ET . Can I help you with anything else ? ||| Żgur ! Qiegħed fi Triq il Fidda , u l kodiċi postali huwa CB39ET . Nista ngħinek b xi ħaġa oħra ?
Nothing more . Thank you for the train and college information . Goodbye . ||| Xejn aktar . Grazzi għall informazzjoni dwar il ferrovija u l kulleġġ . Adieu .
you're welcome , enjoy your visit ! ||| int merħba , gawdi ż żjara tiegħek !
I want a train leaving from kings lynn . ||| Irrid ferrovija titlaq minn Kings Lynn .
What is your destination ? ||| X'inhi d destinazzjoni tiegħek ?
Cambridge , leaving on Wednesday after 12:00 . ||| Cambridge , jitlaq nhar l Erbgħa wara 12:00 .
Train 7040 leaves kings lynn at 12:11 and arrives in cambridge at 12:58 . Would you like me to book a ticket ? ||| Il ferrovija 7040 titlaq minn Kings Lynn f'12:11 u tasal f'Cambridge f'12:58 . Tixtieq li nibbukkja biljett ?
Yes . Book it for 3 people . ||| Iva . Ibbukkjah għal 3 persuni .
Your booking was successful and your reference number is ISO72H9I . May I help you with anything else today ? ||| Il prenotazzjoni tiegħek kienet ta' suċċess u n numru ta' referenza tiegħek huwa ISO72H9I . Nista ngħinek b xi ħaġa oħra llum ?
Can you recommend some places to go in the centre ? ||| Tista' tirrakkomanda xi postijiet fejn tmur fiċ ċentru ?
Sure , there are lots of things to choose from colleges , architecture , museums , nightclubs , parks , boating , pools . What would interest you the most ? ||| Żgur , hemm ħafna affarijiet minn fejn jagħżlu kulleġġi , arkitettura , mużewijiet , nightclubs , parks , tbaħħir , pixxini . X'jinteressak l aktar ?
I'd like a museum . But I will need the entrance fee and phone number . You can pick one for me , please . ||| Nixtieq mużew . Imma ser ikolli bżonn il miżata tad dħul u n numru tat telefon . Tista' tagħżel waħda għalija , jekk jogħġbok .
How about Castle Galleries ? It's free , and their phone number is 01223307402 . Can I help you with anything else ? ||| Kif dwar Galleriji tal Kastell ? Huwa b'xejn , u n numru tat telefon tagħhom huwa 01223307402 . Nista' ngħinek b'xi ħaġa oħra ?
That's it , thanks for your help . ||| Dak hu , grazzi tal għajnuna tiegħek .
Thank you for using our service today ! ||| Grazzi talli użajt is servizz tagħna llum !
Hi , I'm looking for a train that will be leaving after 19:30 that goes to Kings Lynn . ||| Hi , qed infittex ferrovija li se titlaq wara s 19:30 li tmur Kings Lynn .
Where are you departing from ? ||| Minn fejn titlaq ?
I'll be leaving from Cambridge on Friday . ||| Nhar il Ġimgħa ser nitlaq minn Cambridge .
I have four available trains that day ? Is there a certain time that you would like to arrive by to your destination ? ||| Għandi erba' ferroviji disponibbli dakinhar ? Hemm ċertu żmien li tixtieq tasal sad destinazzjoni tiegħek ?
I need to arrive by 18:00 and I am going to ely . ||| Għandi bżonn nasal sas 18:00 u sejjer ely .
The closest I have to your arrival time is 16:07 . Would you like to book it ? ||| L eqreb li għandi għall ħin tal wasla tiegħek huwa 16:07 . Tixtieq tibbukkjaha ?
Yes , please , can you book me for 2 people , and I need th ereference number . ||| Iva , jekk jogħġbok , tista' tibbukkjani għal 2 persuni , u għandi bżonn in numru ta' referenza .
You are all set ! Your train's reference number is: KGRZSK8S . A total of 8 . 8 GBP is payable at the station . Can I help you further ? ||| Inti kollha stabbiliti ! In numru ta' referenza tal ferrovija tiegħek huwa: KGRZSK8S . Total ta' 8 . 8 GBP jitħallsu fl istazzjon . Nista 'ngħinek aktar ?
Yes i am looking to go to a sporting events up north . Do you have any suggestions ? ||| Iva qed infittex li mmur għal avvenimenti sportivi fit tramuntana . Għandek xi suġġerimenti ?
